2014-01-16 12:20:15 - PHP Notice:  Undefined index: user_type in E:\xampp\htdocs\aquagold\cart\catalog\view\theme\aquagold\template\information\contact.tpl on line 51
2014-01-17 19:24:20 - PHP Notice:  Undefined variable: customer_type in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 15
2014-01-17 19:24:20 - PHP Notice:  Undefined index: license_number in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 15
2014-01-17 19:24:21 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp\htdocs\aquagold\cart\system\library\mail.php on line 150
2014-01-17 19:24:21 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 28
2014-01-17 19:24:21 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 29
2014-01-17 19:26:55 - PHP Notice:  Undefined variable: customer_type in E:\xampp\htdocs\aquagold\cart\catalog\model\account\customer.php on line 15
2014-01-17 19:26:56 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp\htdocs\aquagold\cart\system\library\mail.php on line 150
2014-01-17 19:26:56 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 28
2014-01-17 19:26:56 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 29
2014-01-17 19:32:36 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp\htdocs\aquagold\cart\system\library\mail.php on line 150
2014-01-17 19:32:36 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 28
2014-01-17 19:32:36 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 29
2014-01-17 19:38:21 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in E:\xampp\htdocs\aquagold\cart\system\library\mail.php on line 150
2014-01-17 19:38:21 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 28
2014-01-17 19:38:21 - PHP Warning:  Cannot modify header information - headers already sent by (output started at E:\xampp\htdocs\aquagold\cart\index.php:104) in E:\xampp\htdocs\aquagold\cart\system\engine\controller.php on line 29
